"lane_id","origin_state","destination_state","cost_per_mile","otif_rate","quadrant"
"L002","Texas","Michigan","2.72","0.9429","High Cost / Good Service — Monitor Cost"
"L001","Nevada","Texas","2.70","0.9354","High Cost / Low Service — ACTION NEEDED"
"L006","Nevada","Georgia","3.28","0.8881","High Cost / Low Service — ACTION NEEDED"
"L010","Nevada","Tennessee","3.12","0.8679","High Cost / Low Service — ACTION NEEDED"
"L011","Texas","North Carolina","2.79","0.9309","High Cost / Low Service — ACTION NEEDED"
"L012","Georgia","Texas","2.75","0.9195","High Cost / Low Service — ACTION NEEDED"
"L003","Georgia","Tennessee","2.45","0.9687","Low Cost / Good Service — Best Performers"
"L004","North Carolina","Michigan","2.59","0.9543","Low Cost / Good Service — Best Performers"
"L005","Texas","Tennessee","2.64","0.9427","Low Cost / Good Service — Best Performers"
"L008","North Carolina","Tennessee","2.45","0.9857","Low Cost / Good Service — Best Performers"
"L007","Texas","Georgia","2.64","0.9207","Low Cost / Low Service — Improve Service"
"L009","Georgia","Michigan","2.67","0.9314","Low Cost / Low Service — Improve Service"
