"lane_id","origin_state","destination_state","lane_risk_score","lane_risk_band"
"L006","Nevada","Georgia","0.3820","Critical"
"L005","Texas","Tennessee","0.2497","High"
"L012","Georgia","Texas","0.2353","High"
"L002","Texas","Michigan","0.2340","High"
"L007","Texas","Georgia","0.2179","High"
"L004","North Carolina","Michigan","0.1868","High"
"L008","North Carolina","Tennessee","0.1475","Medium"
"L001","Nevada","Texas","0.1279","Medium"
"L010","Nevada","Tennessee","0.0932","Low"
"L003","Georgia","Tennessee","0.0595","Low"
"L009","Georgia","Michigan","0.0330","Low"
"L011","Texas","North Carolina","0.0280","Low"
