shipment_id,shipment_date,year,month,month_name,quarter,lane_id,origin_state,destination_state,origin_type,destination_type,volume_band,service_sensitivity,base_risk_band,strategic_priority,carrier_id,carrier_name,carrier_profile,distance_miles,weight_lbs,planned_transit_days,actual_transit_days,quoted_cost,actual_cost,cost_leakage_amount,on_time_flag,invoice_exception_flag,utilization_pct,priority_flag,carrier_hist_otif,carrier_hist_exception_rate,lane_hist_otif,lane_hist_avg_delay,lane_carrier_hist_otif,cost_per_mile_quoted,distance_x_carrier_risk,weight_util_ratio,late_risk_probability,late_risk_tier
SH000018,2024-04-01,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1200,19236.0,3,3,3193.18,2920.08,-273.1,1,0,0.88,High,0.907035175879397,0.0864321608040201,0.907035175879397,0.0,0.907035175879397,2.6609833333333333,70.5202312138728,21859.090909090908,0.1949,Medium Risk
SH000022,2024-04-01,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,1200,29502.0,3,3,3410.71,3541.14,130.43,1,0,0.85,High,0.907035175879397,0.0864321608040201,1.0,0.0,0.907035175879397,2.8422583333333336,44.10256410256408,34708.23529411765,0.2093,Medium Risk
SH000023,2024-04-01,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1200,21902.0,3,2,3250.74,3245.13,-5.61,1,0,0.76,High,1.0,0.0,1.0,0.0,1.0,2.7089499999999997,70.5202312138728,28818.42105263158,0.2929,Medium Risk
SH000056,2024-04-01,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C03,BlueRoute Transport,Balanced Performer,250,19397.0,1,1,634.69,634.22,-0.47,1,0,0.68,Medium,1.0,0.0,0.907035175879397,0.0,0.907035175879397,2.5387600000000003,14.691714836223502,28524.999999999996,0.0983,Low Risk
SH000072,2024-04-01,2024,4,April,2,L004,North Carolina,Michigan,Processing Hub,EV Manufacturing Hub,Medium,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,700,19055.0,2,2,1685.21,1765.66,80.45,1,0,0.73,High,0.907035175879397,0.0864321608040201,0.907035175879397,0.0,0.907035175879397,2.407442857142857,85.23489932885903,26102.739726027397,0.2165,Medium Risk
SH000081,2024-04-01,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,900,14931.0,3,3,2448.67,2564.53,115.86,1,0,0.89,High,1.0,0.0,0.907035175879397,0.0,0.907035175879397,2.7207444444444446,33.07692307692306,16776.404494382023,0.0756,Low Risk
SH000110,2024-04-01,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,800,19595.0,2,2,2109.86,2184.06,74.2,1,0,0.84,High,0.907035175879397,0.0864321608040201,0.907035175879397,0.0,0.907035175879397,2.637325,152.53772290809326,23327.380952380954,0.2857,Medium Risk
SH000133,2024-04-01,2024,4,April,2,L009,Georgia,Michigan,Battery Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,850,15121.0,2,2,2156.43,2127.06,-29.37,1,0,0.66,High,1.0,0.0,0.907035175879397,0.0,0.907035175879397,2.536976470588235,49.951830443159906,22910.60606060606,0.158,Medium Risk
SH000134,2024-04-01,2024,4,April,2,L009,Georgia,Michigan,Battery Hub,EV Manufacturing Hub,Medium,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,850,21763.0,2,2,2416.43,2250.32,-166.11,1,0,0.76,High,1.0,0.0,1.0,0.0,0.907035175879397,2.8428588235294114,31.239316239316224,28635.526315789473,0.0342,Low Risk
SH000057,2024-04-02,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C03,BlueRoute Transport,Balanced Performer,250,17150.0,1,1,617.38,598.79,-18.59,1,0,0.69,Medium,1.0,0.0,1.0,0.0,1.0,2.46952,14.691714836223502,24855.07246376812,0.1279,Low Risk
