"lane_id","origin_state","destination_state","origin_type","destination_type","distance_miles","volume_band","service_sensitivity","strategic_priority","total_shipments","total_actual_spend","avg_quoted_cost","avg_actual_cost","avg_cost_leakage","otif_rate","exception_rate","avg_utilization","avg_actual_transit_days"
"L002","Texas","Michigan","Processing Hub","EV Manufacturing Hub",1350,"High","High","High","502","1863635.51","3668.70","3712.42","43.72","0.9124","0.0578","0.82","3.03"
"L001","Nevada","Texas","Upstream Supply","Processing Hub",1200,"High","High","High","557","1808527.95","3209.27","3246.91","37.64","0.9120","0.0916","0.84","3.02"
"L005","Texas","Tennessee","Processing Hub","Battery Hub",900,"Medium","High","High","435","1045682.22","2367.62","2403.87","36.24","0.9172","0.0805","0.78","3.03"
"L011","Texas","North Carolina","Processing Hub","Processing Hub",1200,"Medium","Medium","Medium","299","1003614.13","3306.12","3356.57","50.45","0.8729","0.1171","0.72","3.11"
"L009","Georgia","Michigan","Battery Hub","EV Manufacturing Hub",850,"Medium","High","High","400","923420.44","2279.82","2308.55","28.73","0.9250","0.0850","0.75","2.03"
"L010","Nevada","Tennessee","Upstream Supply","Battery Hub",1750,"Low","High","Medium","155","876680.47","5489.80","5656.00","166.20","0.7355","0.1355","0.64","4.43"
"L006","Nevada","Georgia","Upstream Supply","Battery Hub",1900,"Low","High","Medium","128","803755.98","6151.35","6279.34","127.99","0.7500","0.1328","0.61","5.45"
"L007","Texas","Georgia","Processing Hub","Battery Hub",800,"Medium","High","High","360","763654.76","2100.15","2121.26","21.11","0.9222","0.1000","0.77","2.00"
"L004","North Carolina","Michigan","Processing Hub","EV Manufacturing Hub",700,"Medium","High","High","379","691496.16","1805.61","1824.53","18.92","0.9499","0.0818","0.74","1.95"
"L012","Georgia","Texas","Battery Hub","Processing Hub",900,"Low","Medium","Medium","188","466503.27","2444.13","2481.40","37.27","0.8404","0.1489","0.66","3.18"
"L008","North Carolina","Tennessee","Processing Hub","EV Manufacturing Hub",450,"Medium","High","Medium","268","295331.30","1090.35","1101.98","11.64","0.9552","0.0522","0.79","1.07"
"L003","Georgia","Tennessee","Battery Hub","EV Manufacturing Hub",250,"Medium","Medium","Medium","309","193077.06","620.48","624.84","4.36","0.9644","0.0421","0.76","1.05"
