"lane_id","origin_state","destination_state","service_sensitivity","strategic_priority","total_shipments","otif_rate","exception_rate","avg_leakage","avg_utilization","service_risk","control_risk","cost_risk","efficiency_risk","composite_risk_score","risk_rank"
"L010","Nevada","Tennessee","High","Medium","155","0.7355","0.1355","166.20","0.64","0.2645","0.1355","1.0000","0.3600","0.4352","1"
"L006","Nevada","Georgia","High","Medium","128","0.7500","0.1328","127.99","0.61","0.2500","0.1328","0.7701","0.3900","0.3787","2"
"L012","Georgia","Texas","Medium","Medium","188","0.8404","0.1489","37.27","0.66","0.1596","0.1489","0.2242","0.3400","0.2092","3"
"L011","Texas","North Carolina","Medium","Medium","299","0.8729","0.1171","50.45","0.72","0.1271","0.1171","0.3035","0.2800","0.1993","4"
"L005","Texas","Tennessee","High","High","435","0.9172","0.0805","36.24","0.78","0.0828","0.0805","0.2181","0.2200","0.1435","5"
"L002","Texas","Michigan","High","High","502","0.9124","0.0578","43.72","0.82","0.0876","0.0578","0.2631","0.1800","0.1425","6"
"L001","Nevada","Texas","High","High","557","0.9120","0.0916","37.64","0.84","0.0880","0.0916","0.2265","0.1600","0.1379","7"
"L009","Georgia","Michigan","High","High","400","0.9250","0.0850","28.73","0.75","0.0750","0.0850","0.1729","0.2500","0.1370","8"
"L007","Texas","Georgia","High","High","360","0.9222","0.1000","21.11","0.77","0.0778","0.1000","0.1270","0.2300","0.1261","9"
"L004","North Carolina","Michigan","High","High","379","0.9499","0.0818","18.92","0.74","0.0501","0.0818","0.1138","0.2600","0.1159","10"
"L008","North Carolina","Tennessee","High","Medium","268","0.9552","0.0522","11.64","0.79","0.0448","0.0522","0.0700","0.2100","0.0860","11"
"L003","Georgia","Tennessee","Medium","Medium","309","0.9644","0.0421","4.36","0.76","0.0356","0.0421","0.0262","0.2400","0.0758","12"
