"lane_id","year","month","month_name","total_shipments","avg_utilization","low_util_shipments","monthly_savings_potential"
"L001",2024,4,"April","25","0.84","0","0.00"
"L001",2024,5,"May","25","0.84","0","0.00"
"L001",2024,6,"June","20","0.83","0","0.00"
"L001",2024,7,"July","23","0.84","0","0.00"
"L001",2024,8,"August","29","0.84","0","0.00"
"L001",2024,9,"September","26","0.83","0","0.00"
"L001",2024,10,"October","24","0.84","0","0.00"
"L001",2024,11,"November","26","0.83","0","0.00"
"L001",2024,12,"December","23","0.85","0","0.00"
"L001",2025,1,"January","15","0.81","0","0.00"
"L001",2025,2,"February","25","0.85","0","0.00"
"L001",2025,3,"March","24","0.85","0","0.00"
"L001",2025,4,"April","21","0.84","0","0.00"
"L001",2025,5,"May","22","0.84","0","0.00"
"L001",2025,6,"June","27","0.84","0","0.00"
"L001",2025,7,"July","25","0.83","0","0.00"
"L001",2025,8,"August","27","0.84","0","0.00"
"L001",2025,9,"September","19","0.84","0","0.00"
"L001",2025,10,"October","21","0.82","0","0.00"
"L001",2025,11,"November","28","0.83","0","0.00"
"L001",2025,12,"December","20","0.84","0","0.00"
"L001",2026,1,"January","21","0.85","0","0.00"
"L001",2026,2,"February","18","0.86","0","0.00"
"L001",2026,3,"March","23","0.83","0","0.00"
"L002",2024,4,"April","22","0.83","0","0.00"
"L002",2024,5,"May","15","0.84","0","0.00"
"L002",2024,6,"June","20","0.82","0","0.00"
"L002",2024,7,"July","16","0.80","0","0.00"
"L002",2024,8,"August","20","0.85","0","0.00"
"L002",2024,9,"September","21","0.80","0","0.00"
"L002",2024,10,"October","23","0.82","0","0.00"
"L002",2024,11,"November","21","0.84","0","0.00"
"L002",2024,12,"December","21","0.84","0","0.00"
"L002",2025,1,"January","18","0.81","0","0.00"
"L002",2025,2,"February","26","0.83","0","0.00"
"L002",2025,3,"March","20","0.81","0","0.00"
"L002",2025,4,"April","22","0.83","0","0.00"
"L002",2025,5,"May","23","0.83","0","0.00"
"L002",2025,6,"June","20","0.82","0","0.00"
"L002",2025,7,"July","22","0.81","0","0.00"
"L002",2025,8,"August","18","0.83","0","0.00"
"L002",2025,9,"September","24","0.81","0","0.00"
"L002",2025,10,"October","26","0.81","0","0.00"
"L002",2025,11,"November","19","0.84","0","0.00"
"L002",2025,12,"December","22","0.81","0","0.00"
"L002",2026,1,"January","24","0.83","0","0.00"
"L002",2026,2,"February","20","0.82","0","0.00"
"L002",2026,3,"March","19","0.82","0","0.00"
"L003",2024,4,"April","17","0.77","0","0.00"
"L003",2024,5,"May","12","0.75","1","188.59"
"L003",2024,6,"June","11","0.75","0","0.00"
"L003",2024,7,"July","13","0.75","0","0.00"
"L003",2024,8,"August","12","0.76","0","0.00"
"L003",2024,9,"September","15","0.77","0","0.00"
"L003",2024,10,"October","12","0.75","0","0.00"
"L003",2024,11,"November","12","0.76","1","172.88"
"L003",2024,12,"December","11","0.76","1","193.46"
"L003",2025,1,"January","14","0.76","0","0.00"
"L003",2025,2,"February","13","0.77","0","0.00"
"L003",2025,3,"March","14","0.78","0","0.00"
"L003",2025,4,"April","13","0.75","1","160.04"
"L003",2025,5,"May","15","0.76","0","0.00"
"L003",2025,6,"June","15","0.76","0","0.00"
"L003",2025,7,"July","11","0.76","0","0.00"
"L003",2025,8,"August","13","0.79","0","0.00"
"L003",2025,9,"September","12","0.76","0","0.00"
"L003",2025,10,"October","9","0.78","0","0.00"
"L003",2025,11,"November","11","0.76","0","0.00"
"L003",2025,12,"December","14","0.76","0","0.00"
"L003",2026,1,"January","15","0.76","1","192.72"
"L003",2026,2,"February","12","0.75","1","216.91"
"L003",2026,3,"March","13","0.74","0","0.00"
"L004",2024,4,"April","12","0.76","1","543.75"
"L004",2024,5,"May","15","0.76","0","0.00"
"L004",2024,6,"June","17","0.74","3","1571.62"
"L004",2024,7,"July","16","0.76","0","0.00"
"L004",2024,8,"August","20","0.75","0","0.00"
"L004",2024,9,"September","13","0.69","1","508.83"
"L004",2024,10,"October","17","0.76","1","496.54"
"L004",2024,11,"November","17","0.74","0","0.00"
"L004",2024,12,"December","16","0.73","1","585.71"
"L004",2025,1,"January","16","0.72","2","1220.01"
"L004",2025,2,"February","19","0.72","1","587.67"
"L004",2025,3,"March","14","0.73","1","509.54"
"L004",2025,4,"April","15","0.74","1","595.13"
"L004",2025,5,"May","17","0.75","0","0.00"
"L004",2025,6,"June","14","0.75","0","0.00"
"L004",2025,7,"July","19","0.74","2","1197.01"
"L004",2025,8,"August","16","0.73","2","1125.45"
"L004",2025,9,"September","14","0.74","1","497.82"
"L004",2025,10,"October","21","0.75","0","0.00"
"L004",2025,11,"November","13","0.72","2","1030.91"
"L004",2025,12,"December","15","0.74","2","1015.07"
"L004",2026,1,"January","16","0.74","1","504.77"
"L004",2026,2,"February","13","0.73","1","548.46"
"L004",2026,3,"March","14","0.73","1","532.30"
"L005",2024,4,"April","24","0.79","0","0.00"
"L005",2024,5,"May","22","0.78","1","726.58"
"L005",2024,6,"June","17","0.78","0","0.00"
"L005",2024,7,"July","14","0.79","0","0.00"
"L005",2024,8,"August","15","0.79","0","0.00"
"L005",2024,9,"September","16","0.79","1","652.23"
"L005",2024,10,"October","18","0.78","0","0.00"
"L005",2024,11,"November","20","0.79","0","0.00"
"L005",2024,12,"December","19","0.78","0","0.00"
"L005",2025,1,"January","14","0.79","0","0.00"
"L005",2025,2,"February","16","0.79","0","0.00"
"L005",2025,3,"March","23","0.77","2","1515.83"
"L005",2025,4,"April","18","0.81","0","0.00"
"L005",2025,5,"May","18","0.78","0","0.00"
