"lane_id","origin_state","destination_state","origin_type","destination_type","distance_miles","volume_band","service_sensitivity","base_risk_band","strategic_priority","total_shipments","otif_rate","exception_rate","avg_leakage","total_leakage","avg_utilization","avg_actual_cost","cost_per_mile","avg_transit_variance","service_risk","control_risk","cost_risk","efficiency_risk","lane_risk_score","lane_risk_rank","lane_risk_band"
"L010","Nevada","Tennessee","Upstream Supply","Battery Hub",1750,"Low","High","High","Medium","155","0.7355","0.1355","166.20","25761.36","0.64","5656.00","3.23","0.43","0.2645","0.1355","1.0000","0.3600","0.4352","1","Critical"
"L006","Nevada","Georgia","Upstream Supply","Battery Hub",1900,"Low","High","High","Medium","128","0.7500","0.1328","127.99","16383.30","0.61","6279.34","3.30","0.45","0.2500","0.1328","0.7701","0.3900","0.3787","2","Critical"
"L012","Georgia","Texas","Battery Hub","Processing Hub",900,"Low","Medium","Medium","Medium","188","0.8404","0.1489","37.27","7006.30","0.66","2481.40","2.76","0.18","0.1596","0.1489","0.2242","0.3400","0.2092","3","High"
"L011","Texas","North Carolina","Processing Hub","Processing Hub",1200,"Medium","Medium","Medium","Medium","299","0.8729","0.1171","50.45","15083.62","0.72","3356.57","2.80","0.11","0.1271","0.1171","0.3035","0.2800","0.1993","4","High"
"L005","Texas","Tennessee","Processing Hub","Battery Hub",900,"Medium","High","Medium","High","435","0.9172","0.0805","36.24","15765.52","0.78","2403.87","2.67","0.03","0.0828","0.0805","0.2181","0.2200","0.1435","5","Medium"
"L002","Texas","Michigan","Processing Hub","EV Manufacturing Hub",1350,"High","High","Medium","High","502","0.9124","0.0578","43.72","21946.51","0.82","3712.42","2.75","0.03","0.0876","0.0578","0.2631","0.1800","0.1425","6","Medium"
"L001","Nevada","Texas","Upstream Supply","Processing Hub",1200,"High","High","Medium","High","557","0.9120","0.0916","37.64","20963.04","0.84","3246.91","2.71","0.02","0.0880","0.0916","0.2265","0.1600","0.1379","7","Medium"
"L009","Georgia","Michigan","Battery Hub","EV Manufacturing Hub",850,"Medium","High","Medium","High","400","0.9250","0.0850","28.73","11490.73","0.75","2308.55","2.72","0.03","0.0750","0.0850","0.1729","0.2500","0.1370","8","Medium"
"L007","Texas","Georgia","Processing Hub","Battery Hub",800,"Medium","High","Medium","High","360","0.9222","0.1000","21.11","7599.45","0.77","2121.26","2.65","0.00","0.0778","0.1000","0.1270","0.2300","0.1261","9","Medium"
"L004","North Carolina","Michigan","Processing Hub","EV Manufacturing Hub",700,"Medium","High","Medium","High","379","0.9499","0.0818","18.92","7168.87","0.74","1824.53","2.61","-0.05","0.0501","0.0818","0.1138","0.2600","0.1159","10","Low"
"L008","North Carolina","Tennessee","Processing Hub","EV Manufacturing Hub",450,"Medium","High","Low","Medium","268","0.9552","0.0522","11.64","3118.30","0.79","1101.98","2.45","0.07","0.0448","0.0522","0.0700","0.2100","0.0860","11","Low"
"L003","Georgia","Tennessee","Battery Hub","EV Manufacturing Hub",250,"Medium","Medium","Low","Medium","309","0.9644","0.0421","4.36","1348.06","0.76","624.84","2.50","0.05","0.0356","0.0421","0.0262","0.2400","0.0758","12","Low"
